frame,time_s,left_pupil_diameter_mm,right_pupil_diameter_mm,left_pupil_iris_ratio,right_pupil_iris_ratio,gaze_valid,left_eye_valid,right_eye_valid,blink_left,blink_right,pupil_left_out_of_bounds,pupil_right_out_of_bounds,pupil_asymmetry_exceeded,interpolated_left_pupil,interpolated_right_pupil
725584,2.1653559,2.7254914628822093,2.3606500538902564,0,0,true,true,true,false,false,true,true,false,true,true
725585,2.1703652,2.745252204920377,2.394768788270763,0,0,true,true,true,false,false,true,true,false,true,true
725586,2.1752783,2.764633456134661,2.428232296921643,0,0,true,true,true,false,false,true,true,false,true,true
725587,2.1803464,2.784626153063101,2.462751522704455,0,0,true,true,true,false,false,true,true,false,true,true
725588,2.1859617,2.8067774506030605,2.5009977705168946,0,0,true,true,true,false,false,true,true,false,true,true
725589,2.1908115,2.825908995277307,2.5340301379132524,0,0,true,true,true,false,false,true,true,false,true,true
725590,2.1956435,2.8449703223147034,2.5669412681163974,0,0,true,true,true,false,false,true,true,false,true,true
725591,2.2003552,2.8635570885816923,2.599033025603596,0,0,true,true,true,false,false,true,true,false,true,true
725592,2.2053695,2.883337554675154,2.6331858153754535,0,0,true,true,true,false,false,true,true,false,true,true
725593,2.2103839,2.9031184152497227,2.667339286255139,0,0,true,true,true,false,false,true,true,false,true,true
725594,2.2154169,2.922972649309991,2.7016194431906584,0,0,true,true,true,false,false,true,true,false,true,true
725595,2.2204313,2.942753509884559,2.7357729140703437,0,0,true,true,true,false,false,true,true,false,true,true
725596,2.2254457,2.9625343704591276,2.7699263849500295,0,0,true,true,true,false,false,true,true,false,true,true
725597,2.23046,2.9823148365525896,2.8040791747218865,0,0,true,true,true,false,false,true,true,false,true,true
725598,2.2354744,3.002095697127158,2.838232645601572,0,0,true,true,true,false,false,true,true,false,true,true
725599,2.2404888,3.0218765577017264,2.8723861164812576,0,0,true,true,true,false,false,true,true,false,true,true
725600,2.2455032,3.0416574182762948,2.9065395873609434,0,0,true,true,true,false,false,true,true,false,true,true
725601,2.2505176,3.061438278850863,2.9406930582406288,0,0,true,true,true,false,false,true,true,false,true,true
725602,2.255532,3.0812191394254316,2.974846529120314,0,0,true,true,true,false,false,true,true,false,true,true
725603,2.2605464,3.101,3.009,0.45,0.466,true,true,true,false,false,false,false,false,false,false
725604,2.265499,3.1,3.009,0.45,0.466,true,true,true,false,false,false,false,false,false,false
725605,2.2705134,3.1,3.009,0.45,0.466,true,true,true,false,false,false,false,false,false,false
725606,2.2755278,3.1,3.009,0.45,0.466,true,true,true,false,false,false,false,false,false,false
725607,2.2805581,3.099,3.009,0.45,0.466,true,true,true,false,false,false,false,false,false,false
725608,2.2861397,3.197,3.01,0.464,0.466,true,true,true,false,false,false,false,false,false,false
725609,2.291006,3.216,3.01,0.467,0.466,true,true,true,false,false,false,false,false,false,false
725610,2.2960082,3.221,3.01,0.468,0.466,true,true,true,false,false,false,false,false,false,false
725611,2.3005823,3.223,3.011,0.468,0.466,true,true,true,false,false,false,false,false,false,false
725612,2.3055801,3.146,3.011,0.457,0.467,true,true,true,false,false,false,false,false,false,false
725613,2.3106205,3.129,3.012,0.454,0.467,true,true,true,false,false,false,false,false,false,false
725614,2.3156227,3.125,3.012,0.454,0.467,true,true,true,false,false,false,false,false,false,false
725615,2.3206385,3.124,3.012,0.454,0.467,true,true,true,false,false,false,false,false,false,false
725616,2.3256407,3.124,3.012,0.454,0.467,true,true,true,false,false,false,false,false,false,false
725617,2.3306583,3.124,3.012,0.454,0.467,true,true,true,false,false,false,false,false,false,false
725618,2.3356886,3.124,3.012,0.454,0.467,true,true,true,false,false,false,false,false,false,false
725619,2.3406864,3.124,3.011,0.454,0.467,true,true,true,false,false,false,false,false,false,false
725620,2.3457074,3.123,3.011,0.453,0.466,true,true,true,false,false,false,false,false,false,false
725621,2.3507052,3.12,3.01,0.453,0.466,true,true,true,false,false,false,false,false,false,false
