frame,time_s,gaze_status,left_eye_status,right_eye_status,left_eye_openness,right_eye_openness,focus_distance,focus_stability,gaze_valid,left_eye_valid,right_eye_valid,blink_left,blink_right,focus_distance_sentinel,focus_out_of_bounds,focus_unstable,in_invalid_run,invalid_run_id
725478,1.6339554,VALID,VALID,VALID,0.592,0.526,,0,true,true,true,false,false,false,true,true,false,
725479,1.6390009,VALID,VALID,VALID,0.568,0.489,,0,true,true,true,false,true,false,true,true,false,
725480,1.6440108,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,1
725481,1.6489793,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,1
725482,1.6540023,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,1
725483,1.6590127,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,1
725484,1.6640577,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,1
725485,1.6690672,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,1
725486,1.6740767,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,1
725487,1.6790862,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,1
725488,1.6841326,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,1
725489,1.6891596,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,1
725490,1.6941721,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,1
725491,1.6991477,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,1
725492,1.7041602,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,1
725493,1.7091887,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,1
725494,1.7142012,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,1
725495,1.719219,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,1
725496,1.7242208,VALID,VALID,INVALID,0.441,0.29,2,0,true,true,false,true,true,false,false,true,false,
725497,1.7292386,VALID,VALID,INVALID,0.436,0.292,2,0,true,true,false,true,true,false,false,true,false,
725498,1.7342511,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725499,1.7392689,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725500,1.7442814,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725501,1.7492992,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725502,1.7543117,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
